Project Id;Region;Country;Project Status;project_name;Project Development Objective;Implementing Agency;Consultant Services Required;Project URL;Board Approval Date;Project Closing Date;Financing Type;Current Project Cost
P174527;Latin America and Caribbean;Grenada;Active;Grenada COVID-19 Crisis Response and Fiscal Management DPC;"The development objective of this operation is to support Grenada’s response to the COVID-19 crisis in the short term and also enhan ce long-term sustainability and resilience through (i) strengthening the Government’s health and social protection responses to COVI D-19; (ii) saving jobs and protecting livelihoods of households and firms; and (iii) strengthening fiscal management and transparenc y.";Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P174527;2020-12-17T00:00:00Z;2021-12-31T00:00:00Z;;0
P170914;East Asia and Pacific;Republic of the Philippines;Active;Promoting Competitiveness and Enhancing Resilience to Natural Disasters Sub-program 2 Development Policy Loan;The DPL series aim to support the Government of the Philippines in: i) promoting competitiveness and ii) enhancing resilience.;Department of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P170914;2020-12-16T00:00:00Z;2022-03-31T00:00:00Z;;0
P171554;Africa East;Republic of Rwanda;Active;First Programmatic Human Capital for Inclusive Growth DPF;The Program Development Objective is to support economic stability and inclusive growth in Rwanda by (i) promoting long-term fiscal sustainability, (ii) enhancing coverage and equity in access to critical social programs, (iii) enabling learning and development of  children, and (iv) strengthening decentralized capacity and accountability for accelerated human capital development.;(1) Ministry of Finance and Economic Planning (MINECOFIN), (2) Rwanda Social Security Board, MINECOFIN, (3) National Child Development Agency, MIGEPROF, (4) Ministry of Education (MINEDUC), (5) Ministry of Local Government (MINALOC), (6) Ministry of Health;;https://projects.worldbank.org/en/projects-operations/project-detail/P171554;2020-12-16T00:00:00Z;2023-06-30T00:00:00Z;;0
P171751;Europe and Central Asia;Republic of Uzbekistan;Active;Uzbekistan: Supporting a Transparent and Inclusive Market Transition;"(i) Improving the efficiency, sustainability, and transparency of resource allocation in the economy; and (ii) Enhancing economic in clusion and social resilience.";Ministry of Finance of the Republic of Uzbekistan;;https://projects.worldbank.org/en/projects-operations/project-detail/P171751;2020-12-16T00:00:00Z;2022-06-30T00:00:00Z;;0
P172749;Africa West;Republic of Benin;Active;Benin Second Fiscal Management and Structural Transformation DPF;"The Program Development Objectives are to support the Government to : 1) strengthen fiscal and debt management; 2) improve the finan cial sustainability of the energy sector ; and 3) foster the development of the digital economy.";Ministry of Economy and Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P172749;2020-12-16T00:00:00Z;2021-12-31T00:00:00Z;;0
P174027;South Asia;Republic of India;Active;Second Accelerating India's COVID-19 Social Protection Response (PMGKY);The proposed operation is the second of a series of two to strengthen the capability of state and national governments in India to p rovidecoordinated and adequate social protection to the poor and vulnerable from the shocks triggered by the COVID-19pandemic;Ministry of Finance Department of Economic Affairs;;https://projects.worldbank.org/en/projects-operations/project-detail/P174027;2020-12-15T00:00:00Z;2022-12-31T00:00:00Z;;0
P174315;Africa West;Burkina Faso;Active;Burkina Faso COVID-19 Crisis-Response Development Policy Financing;This operation aims at expanding economic opportunities for growth, building crisis-adaptive capacity of the state, and improving fi scal transparency and accountability.;MINISTERE DE L'ECONOMIE, DES FINANCES ET DU DEVELOPPEMENT;;https://projects.worldbank.org/en/projects-operations/project-detail/P174315;2020-12-15T00:00:00Z;2021-12-31T00:00:00Z;;0
P169524;Europe and Central Asia;Republic of Albania;Active;Albania Fiscal Sustainability and Growth Development Policy Financing;The program development objective is to support Albania in (i) strengthening the transparency and sustainability of its public finan ces, (ii) enhancing finance for recovery and growth and (iii) supporting key sectoral opportunities for sustainable growth.;Ministry of Finance and Economy;;https://projects.worldbank.org/en/projects-operations/project-detail/P169524;2020-12-11T00:00:00Z;2021-12-31T00:00:00Z;;0
P172455;Latin America and Caribbean;Federative Republic of Brazil;Active;First Amazonas Fiscal and Environmental Sustainability Programmatic DPF;To support the State of Amazonas in strengthening fiscal sustainability and integrating forest conservation and development.;State Secretariat of Finance (Secretaria do Estado da Fazenda);;https://projects.worldbank.org/en/projects-operations/project-detail/P172455;2020-12-11T00:00:00Z;2022-12-30T00:00:00Z;;0
P174260;Africa East;Union of the Comoros;Active;Comoros Emergency DPO for Covid-19 response;The objectives of the proposed operation are to i) protect the poor and vulnerable by supporting the Government’s immediate COVID-19  response program and, ii) support reforms that will help economic recovery and enhance resilience in the future.;Ministry of Finance, Budget, and Banking Sector;;https://projects.worldbank.org/en/projects-operations/project-detail/P174260;2020-12-10T00:00:00Z;2021-12-31T00:00:00Z;;0
P174683;East Asia and Pacific;Kingdom of Tonga;Active;Tonga: Supporting Recovery after Dual Shocks Development Policy Operation;"The program development objective is to: (1) assist firms to maintain business continuity, protect livelihoods and support vulnerabl e households to maintain their investment in human capital; and (2) lay the foundations for a sustainable economic recovery.";Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P174683;2020-12-09T00:00:00Z;2022-12-31T00:00:00Z;;0
P174107;Latin America and Caribbean;Republic of Panama;Active;Panama Pandemic Response and Growth Recovery Development Policy Operation;The objective of this operation is to protect human capital during the COVID-19 crisis, while strengthening institutions to foster h uman capital accumulation and support a more inclusive and sustainable economic recovery.;Ministry of Economy and Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P174107;2020-12-08T00:00:00Z;2021-12-31T00:00:00Z;;0
P169179;East Asia and Pacific;Republic of Kiribati;Active;Kiribati Second Inclusive Growth and Resilience Development Policy Operation;"The program development objective is to (i) strengthen sustainable management of sovereign wealth and improve public financial manag ement; and (ii) support prospects for inclusive growth and more resilient livelihoods under global economic uncertainty and climate change threats.";Ministry for Finance and Economic Development;;https://projects.worldbank.org/en/projects-operations/project-detail/P169179;2020-12-03T00:00:00Z;2022-02-28T00:00:00Z;;0
P171764;East Asia and Pacific;Samoa;Active;Samoa First Response, Recovery and Resilience Development Policy Operation with a Catastrophe Deferred Drawdown Option;The objectives of the proposed operation are to promote an inclusive economic response and recovery from the impacts of COVID-19, st rengthen Samoa’s macro-fiscal resilience, and increase Samoa’s resilience to climate change, natural disasters, and health risks.;Ministry of Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P171764;2020-12-03T00:00:00Z;2023-11-30T00:00:00Z;;0
P168908;Africa West;Western Africa;Active;Additional grant for West Africa Coastal  Area  Resilience Investment Project;To strengthen the resilience of targeted communities and areas in coastal Western Africa.;Cote d'Ivoire - Ministry of Economy and Finances, Sao Tome and Principe - Ministry of  Infrastructures and Natural Resources, Mauritania - Ministry of Environment and Sustainable Development, Benin - Ministry of Living Environment and Sustainable Development, Togo - Ministry of Environment, Sustainable Development and Protection of Nature, Senegal - Ministry of Environment and Sustainable Development, West Africa Economic and Monetary Union, International Union for Conservation of Nature;;https://projects.worldbank.org/en/projects-operations/project-detail/P168908;2020-12-01T00:00:00Z;;;0
P174115;Latin America and Caribbean;Republic of Ecuador;Active;Ecuador Third Inclusive and Sustainable Growth DPL;"This DPF series supports measures aimed at: i) responding to COVID-19 to protect the vulnerable; ii) removing barriers to private se ctor development and supporting the economic recovery; iii) promoting public sector efficiency and fiscal sustainability post-crisis .";Ministry of Economy and Finance;;https://projects.worldbank.org/en/projects-operations/project-detail/P174115;2020-11-24T00:00:00Z;2021-12-31T00:00:00Z;;0
P174447;Africa East;Kingdom of Eswatini;Active;Eswatini - Economic Recovery Development Policy Financing I;"The development objectives of the proposed emergency DPO are to: (1) help contain the spread of the virus and support firms to prote ct workers; (2) contribute towards securing the country’s future economic potential in strengthening transparency and budget managem ent; and (3) improve competitiveness and open up the digital economy";Ministry of Finance and Ministry of Economic Planning and Development;;https://projects.worldbank.org/en/projects-operations/project-detail/P174447;2020-11-19T00:00:00Z;2022-06-30T00:00:00Z;;0
